last_payment_amnt,total_received_principal,term_ordinal,total_payment_investors,total_payment,term_since_last_pay_mth,purpose_small_business,inquiries_last_6mths,interest_rate,purpose_credit_card,funded_amount,installment,loan_amount,funded_amount_investors,interest_rate,revolving_utillization,purpose_small_business,debt_to_income_ratio,verification_status_Verified,purpose_major_purchase,repay_fail
0.0,0.0,0,0.0,0.0,65.5,0,0.0,2.0749999999999975,0,0.0,0.0,0.0,0.0,2.0749999999999975,0.0,0,0.0,0,1,1
90.85,2500.0,0,3075.29,3075.291779,36.0,0,5.0,13.98,0,2500.0,85.42,2500.0,2500.0,13.98,0.213,0,19.86,0,0,0
175.67,1909.02,0,2948.76,2948.76,17.0,0,1.0,15.95,0,5000.0,175.67,5000.0,5000.0,15.95,0.999,0,19.57,0,0,1
1550.27,7000.0,0,8082.39,8082.39188,30.0,0,3.0,9.91,0,7000.0,225.58,7000.0,7000.0,9.91,0.472,0,10.8,0,0,0
53.12,2000.0,0,2161.66,2161.663244,29.0,0,0.0,5.42,0,2000.0,60.32,2000.0,2000.0,5.42,0.0,0,3.6,0,0,0
146.75,3600.0,0,4206.03,4206.031191,37.0,0,4.0,10.25,0,3600.0,116.59,3600.0,3600.0,10.25,0.0,0,1.55,0,0,0
211.41,6000.0,0,6717.95,6717.950109,36.0,0,0.0,7.49,0,6000.0,186.61,6000.0,6000.0,7.49,0.477,0,13.13,0,0,0
8017.8550000000005,25600.0,1,30777.455,32150.9887785,29.0,0,1.0,14.27,0,25600.0,599.26,25600.0,25472.82947,14.27,0.708,0,26.51,1,0,0
8017.8550000000005,19750.0,1,27544.89,27544.89116,24.0,0,0.0,22.195,0,19750.0,559.27,19750.0,19750.0,22.195,0.987,0,19.96,1,0,0
223.68,4764.18,0,6688.64,6688.64,29.0,0,0.0,17.27,0,6250.0,223.68,6250.0,6250.0,17.27,0.0846,0,13.76,1,0,1
276.65,7999.97,0,9813.67,9813.670737,37.0,0,1.0,13.79,1,8000.0,272.61,8000.0,8000.0,13.79,0.619,0,12.78,1,0,0
1570.19,15000.0,0,18760.55,18760.5504,35.0,1,2.0,15.23,0,15000.0,521.68,15000.0,15000.0,15.23,0.817,1,17.38,1,0,0
119.69,3325.0,0,3560.66,3671.069608,37.0,0,0.0,6.54,0,3325.0,101.97,16000.0,3225.0,6.54,0.651,0,6.05,1,0,0
168.64,4800.0,0,4967.14,5894.995948,36.0,0,2.0,13.87,0,4800.0,163.75,4800.0,4053.694891,13.87,0.642,0,9.18,0,0,0
230.86,10875.0,1,13796.73,13860.45333,60.0,0,1.0,9.99,0,10875.0,231.01,15000.0,10825.0,9.99,0.166,0,11.95,1,0,0
5880.8,9000.0,0,10029.77,10092.85412,10.0,0,5.0,21.21,0,9000.0,340.06,9000.0,8948.17216,21.21,0.451,0,10.24,0,0,0
462.57,13000.0,0,15417.17,15506.63274,36.0,0,1.0,11.83,0,13000.0,430.75,13000.0,12925.0,11.83,0.565,0,13.2,0,0,0
163.7,4500.0,0,5368.15,5368.145768,37.0,0,2.0,11.83,0,4500.0,149.11,4500.0,4500.0,11.83,0.368,0,9.17,0,0,0
361.85,10499.99,0,8543.7,12667.99707,37.0,0,1.0,12.53,1,10500.0,351.4,10500.0,7386.297359,12.53,0.639,0,23.49,0,0,0
81.77,2000.0,0,2447.36,2447.360162,37.0,0,0.0,13.61,0,2000.0,67.98,2000.0,2000.0,13.61,0.379,0,17.71,0,0,0
264.34,8000.0,0,9047.56,9447.75419,37.0,0,1.0,11.14,1,8000.0,262.43,8000.0,7671.428316,11.14,0.416,0,18.89,0,0,0
1305.23,14400.0,0,15337.03,15337.03068,14.0,0,0.0,8.9,1,14400.0,457.25,14400.0,14400.0,8.9,0.639,0,10.72,0,0,0
235.93,6000.0,0,7595.33,7595.32908,37.0,1,0.0,15.99,0,6000.0,210.92,6000.0,6000.0,15.99,0.86,1,3.84,0,0,0
146.81,4200.0,0,5098.87,5098.865209,37.0,0,1.0,13.06,0,4200.0,141.64,4200.0,4200.0,13.06,0.852,0,13.82,0,1,0
3561.66,3600.0,0,3684.31,3684.305325,2.0,0,2.0,14.17,0,3600.0,123.34,3600.0,3600.0,14.17,0.056,0,0.68,1,0,0
2973.62,5000.0,0,5936.96,5936.962272,19.0,0,3.0,6.0,0,5000.0,152.11,5000.0,5000.0,6.0,0.389,0,4.37,1,0,0
3186.4,7000.0,0,8585.35,8616.124601,24.0,0,0.0,16.35,0,7000.0,247.31,7000.0,6975.0,16.35,0.93,0,3.73,0,0,0
105.94,2800.0,0,3135.02,3135.020847,36.0,0,3.0,7.49,0,2800.0,87.09,2800.0,2800.0,7.49,0.226,0,25.45,0,0,0
227.41,1191.48,0,2032.64,2072.47,8.0,0,1.0,15.65,0,6500.0,227.41,6500.0,6375.0,15.65,0.907,0,13.16,0,0,1
2407.57,9575.0,0,10656.45,10995.44109,30.0,0,0.0,9.63,0,9575.0,307.31,9575.0,9280.497737,9.63,0.269,0,10.72,1,0,0
576.92,17325.0,0,20413.87,20712.7521,37.0,0,0.0,11.99,1,17325.0,575.36,17325.0,17075.0,11.99,0.659,0,12.89,1,0,0
223.87,16000.0,1,17933.28,17933.27852,13.0,0,1.0,16.49,0,16000.0,393.27,16000.0,16000.0,16.49,0.242,0,17.54,1,0,0
217.94,12000.0,0,13082.48,13360.83486,36.0,0,0.0,7.29,0,12000.0,372.12,12000.0,11750.0,7.29,0.523,0,17.05,1,0,0
315.04,10000.0,0,11075.67,11103.43382,37.0,1,0.0,6.92,0,10000.0,308.41,10000.0,9975.0,6.92,0.362,1,24.89,0,0,0
574.46,18000.0,0,19895.96,19895.96,36.0,0,0.0,6.62,0,18000.0,552.67,18000.0,18000.0,6.62,0.25,0,6.35,0,0,0
1789.83,12500.0,0,15534.66,15628.43262,28.0,0,0.0,18.62,0,12500.0,455.81,12500.0,12425.0,18.62,0.856,0,5.43,1,0,0
195.09,5499.98,0,6351.33,6857.360454,36.0,0,4.0,14.62,0,5500.0,189.64,5500.0,5119.56414,14.62,0.838,0,20.45,0,0,0
148.76,6000.0,1,7776.63,7928.340004,60.0,0,1.0,11.49,0,6000.0,131.93,6000.0,5900.465799,11.49,0.352,0,10.65,0,0,0
8017.8550000000005,25000.0,0,29163.65,29280.77624,16.0,0,0.0,15.57,0,25000.0,821.53,25000.0,24900.0,15.57,0.838,0,23.78,1,0,0
19.46,12000.0,0,11929.24,13224.09719,16.0,0,0.0,9.88,0,12000.0,386.53,12000.0,10825.0,9.88,0.23,0,15.03,0,0,0
8017.8550000000005,14275.0,1,20611.21,20611.20871,32.0,0,2.0,20.3,0,14275.0,380.59,14275.0,14275.0,20.3,0.818,0,19.31,1,0,0
351.54,9999.99,0,12240.28,12322.38679,36.0,0,0.0,14.11,0,10000.0,342.29,10000.0,9934.892823,14.11,0.476,0,7.95,0,0,0
2844.61,20050.0,0,20462.32,20746.87624,9.0,0,0.0,10.59,0,20050.0,652.53,20050.0,19775.0,10.59,0.603,0,20.21,1,0,0
339.15,15050.0,1,19762.83,20366.11789,61.0,0,3.0,12.61,0,15050.0,339.44,25000.0,14666.44538,12.61,0.207,0,24.57,1,0,0
245.14,7000.0,0,8308.75,8308.750002,36.0,0,3.0,11.49,1,7000.0,230.8,7000.0,7000.0,11.49,0.615,0,18.3,0,0,0
1197.82,5000.0,0,5410.11,5410.105852,30.0,0,0.0,5.42,0,5000.0,150.8,5000.0,5000.0,5.42,0.117,0,5.9,0,0,0
160.61,5000.0,0,2032.38,5725.016258,36.0,0,0.0,9.01,0,5000.0,159.03,5000.0,1775.0,9.01,0.366,0,10.0,0,0,0
50.32,8000.0,0,9560.66,9560.659512,25.0,0,3.0,13.61,1,8000.0,271.91,8000.0,8000.0,13.61,0.24,0,22.49,1,0,0
5795.2,8500.0,0,9385.11,9385.106074,15.0,0,1.0,10.62,0,8500.0,276.76,8500.0,8500.0,10.62,0.48,0,2.01,0,0,0
5463.99,9550.0,1,11478.75,11652.6081,31.0,0,3.0,10.75,0,9550.0,206.46,10000.0,9418.065777,10.75,0.166,0,7.97,0,1,0
466.45,12000.0,0,14439.49,14501.22566,37.0,0,0.0,12.73,0,12000.0,402.77,12000.0,11955.05929,12.73,0.539,0,16.57,0,0,0
56.73,19250.0,1,26715.93,26715.93,49.0,0,1.0,14.79,0,19250.0,455.84,19250.0,19250.0,14.79,0.707,0,8.79,1,0,0
